original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X  -  Seç, Y  -  Seçimi tersine çevir, (+)  -  Menüsü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X  -  Seç, Y  -  Seçimi tersine çevir, (+)  -  Menü, L3  -  Başlat"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X  -  Seç, Y  -  Seçimi tersine çevir, (+)  -  Menü, R3  -  Sırala"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X  -  Seç, Y  -  Seçimi tersine çevir, (+)  -  Menü, R3  -  Sırala, L3  -  Başlat"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X  -  Seç, Y  -  Seçimi tersine çevir, A  -  Aç, (-)  -  2. panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X  -  Seç, Y  -  Seçimi tersine çevir, ⬅/➡  -  Paneli değiştir, (-)  -  Kapat"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR  -  Tarihi değiştir, Y  -  Dönem, X  -  Sırala, (+)  -  Kullanıcı seç"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Oynatma Süresi \x1b[32;1m {:02} : {:02} : {:02} \x1b[37;1m
Невозможно смонтировать системный раздел,Sistem bölümü bağlanamıyor
"DPAD или стики для перемещения, (+) - Настройки","DPAD veya hareket etmek için yapışır, (+)  -  Ayarlar"
Ошибка создания файла: {},Dosya oluşturulurken hata oluştu: {}
Подключение к серверу...,Sunucuya bağlanılıyor...
   Это действие будет нельзя отменить   ,Bu işlem geri alınamaz
SDK подменён,SDK değiştirildi
Точка доступа,Erişim noktası
Традиционный китайский,Geleneksel Çince
Транзисторов:      {:>3},Transistörler: {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Ayarlarda İnternet üzerinden zaman senkronizasyonunun manuel olarak etkinleştirilmesi gerekiyor
