original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 선택, Y - 선택 반전, (+) - 메뉴"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 선택, Y - 선택 반전, (+) - 메뉴, L3 - 실행"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 선택, Y - 선택 반전, (+) - 메뉴, R3 - 정렬"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 선택, Y - 선택 반전, (+) - 메뉴, R3 - 정렬, L3 - 실행"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 선택, Y - 선택 반전, A - 열기, (-) - 2번 패널"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 선택, Y - 선택 반전, ⬅/➡ - 패널 변경, (-) - 닫기"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 날짜 변경, Y - 기간, X - 정렬, (+) - 사용자 선택"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 플레이 시간 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,시스템 파티션을 마운트할 수 없습니다
"DPAD или стики для перемещения, (+) - Настройки","DPAD 또는 스틱으로 이동, (+) - 설정"
Ошибка создания файла: {},파일 생성 오류: {}
Подключение к серверу...,서버에 연결 중...
   Это действие будет нельзя отменить   ,   이 작업은 취소할 수 없습니다   
SDK подменён,SDK 교체됨
Точка доступа,액세스 포인트
Традиционный китайский,중국어 번체
Транзисторов:      {:>3},트랜지스터:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,설정에서 인터넷을 통한 시간 동기화를 수동으로 활성화해야 합니다
Тёмная комната,어두운 방
Убрать из любимых,즐겨찾기에서 제거
Увеличить размер (в МБ),크기 늘리기 (MB)
"Уверены, что хотите продолжить?",정말로 계속하시겠습니까?
Удаление Wi-Fi профиля,Wi-Fi 프로필 삭제 중
Удаление Wi-Fi профиля...,Wi-Fi 프로필 삭제 중...
Удаление {} бекапа,{} 백업 삭제 중
Удаление {} бекапов,{}개의 백업 삭제 중
Удаление {} сохранений,{}개의 세이브 데이터 삭제 중
Удаление {} сохранения,{} 세이브 데이터 삭제 중
Удаление бекапов,백업 삭제 중
Удаление записи об игре...,게임 기록 삭제 중...
Удаление игр,게임 삭제 중
Удаление игры целиком: [{}],게임 전체 삭제: [{}]
Удаление каталога LFS,LFS 디렉토리 삭제 중
Удаление контента,콘텐츠 삭제 중
