original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, L3 - paleisti"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, R3 - rūšiuoti"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, R3 - rūšiuoti, L3 - paleisti"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - pasirinkti, Y - apversti pasirinkimą, A - atidaryti, (-) - 2-as skydelis"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - pasirinkti, Y - apversti pasirinkimą, ⬅/➡ - keisti skydelį, (-) - uždaryti"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - keisti datą, Y - laikotarpis, X - rūšiuoti, (+) - pasirinkti vartotoją"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Žaidimo laikas \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nepavyko prijungti sistemos skaidinio
"DPAD или стики для перемещения, (+) - Настройки","DPAD arba svirtelės judėjimui, (+) - Nustatymai"
Ошибка создания файла: {},Klaida kuriant failą: {}
Подключение к серверу...,Jungiamasi prie serverio...
   Это действие будет нельзя отменить   ,   Šio veiksmo atšaukti nepavyks   
SDK подменён,SDK pakeistas
Точка доступа,Prieigos taškas
Традиционный китайский,Tradicinė kinų
Транзисторов:      {:>3},Tranzistorių:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Nustatymuose reikia rankiniu būdu įjungti laiko sinchronizavimą per internetą
Тёмная комната,Tamsus kambarys
Убрать из любимых,Pašalinti iš mėgstamiausių
Увеличить размер (в МБ),Padidinti dydį (MB)
"Уверены, что хотите продолжить?",Ar tikrai norite tęsti?
Удаление Wi-Fi профиля,Wi-Fi profilio trynimas
Удаление Wi-Fi профиля...,Wi-Fi profilio trynimas...
Удаление {} бекапа,Trinama {} atsarginė kopija
Удаление {} бекапов,Trinama {} atsarginių kopijų
Удаление {} сохранений,Trinama {} išsaugojimų
Удаление {} сохранения,Trinama {} išsaugojimo kopija
Удаление бекапов,Atsarginių kopijų trynimas
Удаление записи об игре...,Ištrinamas žaidimo įrašas...
