original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - atlasīt, Y - invertēt atlasi, (+) - izvēlne"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - atlasīt, Y - invertēt atlasi, (+) - izvēlne, L3 - palaist"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - atlasīt, Y - invertēt atlasi, (+) - izvēlne, R3 - kārtošana"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - atlasīt, Y - invertēt atlasi, (+) - izvēlne, R3 - kārtošana, L3 - palaist"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - atlasīt, Y - invertēt atlasi, A - atvērt, (-) - 2. panelis"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - atlasīt, Y - invertēt atlasi, ⬅/➡ - mainīt paneli, (-) - aizvērt"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - mainīt datumu, Y - periods, X - kārtošana, (+) - atlasīt lietotāju"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Spēles laiks \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nevar montēt sistēmas nodalījumu
"DPAD или стики для перемещения, (+) - Настройки","DPAD vai sviras, lai pārvietotos, (+) - Iestatījumi"
Ошибка создания файла: {},"Kļūda, izveidojot failu: {}"
Подключение к серверу...,Savienojuma izveide ar serveri...
   Это действие будет нельзя отменить   ,   Šo darbību nevarēs atcelt   
SDK подменён,SDK nomainīts
Точка доступа,Piekļuves punkts
Традиционный китайский,Tradicionālā ķīniešu
Транзисторов:      {:>3},Tranzistori:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,"Iestatījumos ir manuāli jāiespējo laika sinhronizācija, izmantojot internetu"
Тёмная комната,Tumša istaba
Убрать из любимых,Noņemt no izlases
Увеличить размер (в МБ),Palielināt izmēru (MB)
"Уверены, что хотите продолжить?",Vai tiešām vēlaties turpināt?
Удаление Wi-Fi профиля,Wi-Fi profila dzēšana
Удаление Wi-Fi профиля...,Wi-Fi profila dzēšana...
Удаление {} бекапа,Dzēš {} dublējumu
Удаление {} бекапов,Dzēš {} dublējumus
Удаление {} сохранений,Dzēš {} saglabātos datus
Удаление {} сохранения,Dzēš {} saglabātos datus
Удаление бекапов,Dublējumu dzēšana
Удаление записи об игре...,Spēles ieraksta dzēšana...
Удаление игр,Spēļu dzēšana
