original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 選択, Y - 選択反転, (+) - メニュー"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 選択, Y - 選択反転, (+) - メニュー, L3 - 起動"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 選択, Y - 選択反転, (+) - メニュー, R3 - 並べ替え"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 選択, Y - 選択反転, (+) - メニュー, R3 - 並べ替え, L3 - 起動"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 選択, Y - 選択反転, A - 開く, (-) - 第2パネル"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 選択, Y - 選択反転, ⬅/➡ - パネル切替, (-) - 閉じる"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 日付変更, Y - 期間, X - 並べ替え, (+) - ユーザー選択"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. プレイ時間 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,システムパーティションをマウントできません
"DPAD или стики для перемещения, (+) - Настройки","十字キーまたはスティックで移動, (+) - 設定"
Ошибка создания файла: {},ファイル作成エラー: {}
Подключение к серверу...,サーバーに接続中...
   Это действие будет нельзя отменить   ,   この操作は取り消せません   
SDK подменён,SDKが置き換えられました
Точка доступа,アクセスポイント
Традиционный китайский,繁体中国語
Транзисторов:      {:>3},トランジスタ数:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,設定でインターネット経由の時間同期を手動で有効にする必要があります
Тёмная комната,暗い部屋
Убрать из любимых,お気に入りから削除
Увеличить размер (в МБ),サイズを増やす (MB)
"Уверены, что хотите продолжить?",続行しますか？
Удаление Wi-Fi профиля,Wi-Fiプロファイルを削除しています
Удаление Wi-Fi профиля...,Wi-Fiプロファイルを削除しています...
Удаление {} бекапа,{} バックアップを削除中
Удаление {} бекапов,{} 個のバックアップを削除中
Удаление {} сохранений,{} 個のセーブデータを削除中
Удаление {} сохранения,{} セーブデータを削除中
Удаление бекапов,バックアップを削除中
Удаление записи об игре...,ゲーム記録を削除中...
Удаление игр,ゲームを削除中
Удаление игры целиком: [{}],ゲームを完全に削除: [{}]
Удаление каталога LFS,LFSディレクトリを削除中
Удаление контента,コンテンツを削除中
Удаление настроек родительского контроля...,みまもり設定を削除中...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,削除に失敗しました。\n\nボタンを押して続けてください
Удаление неиспользуемого {}...,未使用の{}を削除中...
Удаление плейсхолдера...,プレースホルダーを削除中...
Удаление пользователя,ユーザーを削除中
Удаление пользователя...,ユーザーを削除中...
Удаление ранее установленных файлов...,以前にインストールされたファイルを削除中...
Удаление родительского контроля,みまもり設定を削除中
SaveFS очищена,SaveFSをクリアしました
Удаление связи с Nintendo account...,ニンテンドーアカウントとの連携を解除中...
Удаление сохранений,セーブデータを削除中
Удаление сохранения целиком,セーブデータ全体を削除中
Удаление старого     {}...,古いものを削除中     {}...
Удаление старого файла {}...,古いファイル {} を削除中...
Удаление старой записи об игре...,古いゲーム記録を削除中...
Удаление старой папки {}...,古いフォルダー {} を削除中...
Удаление тайтла: [{}],タイトルを削除中: [{}]
Удаление тикетов ({}),チケットを削除中 ({})
Удаление...,削除中...
Удалить,削除
Удалить LFS,LFSを削除
Удалить сохранения,セーブデータを削除
Удалить старые бекапы,古いバックアップを削除
Удаляется {} из {}...,{} / {} を削除中...
Удаляется {}...,{}を削除中...
Удаляется запись о контенте...,コンテンツ記録を削除中...
Удаляется запись об игре...,ゲーム記録を削除中...
Удаляется игра и весь связанный контент,ゲームとすべての関連コンテンツを削除中
Titlekey не может быть инициализирован,Titlekeyを初期化できません
Удаляется папка LFS...,LFSフォルダーを削除中...
Удаляется пустая папка,空のフォルダーを削除中
Удаляется сохранение {}...,セーブデータ {} を削除中...
Удаляется старая запись о контенте...,古いコンテンツ記録を削除中...
Удаляется старый cnmt.nca...,古い cnmt.nca を削除中...
Удаляется тикет: {}...,チケットを削除中: {}...
Удаляются все объекты из альбома для игры,ゲームアルバムからすべてのアイテムを削除中
Удаляются все сохранения для игры,ゲームのすべてのセーブデータを削除中
Удаляются сохранения...,セーブデータを削除しています...
"UID: {}, Ник: {}","UID: {}, ニックネーム: {}"
Удалённые,削除済み
Удачный экспорт,エクスポート成功
Уделение старого тикета...,古いチケットを削除中...
Упаковка каталога в RomFS,ディレクトリをRomFSにパッキング
Упрощенный китайский,簡体字
Успешно разобран как PFS0 файл,PFS0ファイルとして正常に解析されました
Устанавливается {},{}をインストール中
Установить как аватар...,アバターとして設定...
Установка,インストール
Установка анлокера...,アンロッカーをインストール中...
Установка завершена,インストール完了
Установка игр (NAND),ゲームのインストール (NAND)
Установка игр (SD Card),ゲームのインストール (SDカード)
Установка игры завершена,ゲームのインストールが完了しました
Установка обновлений игр,ゲーム更新データのインストール
Установка прервана,インストールが中断されました
Установка тайтлов ({}/{}),タイトルをインストール ({}/{})
USB Соединение,USB接続
Установка ярлыка...,ショートカットをインストール中...
Установлен,インストール済み
Установленные,インストール済み
Установленные homebrew,インストール済み homebrew
Установленные homebrew ({}),インストール済み homebrew ({})
Установленные игры,インストール済みゲーム
Установленные тикеты,インストール済みチケット
Установленные тикеты ({}),インストール済みチケット ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,ファイルが破損しておりインストールできません。HEAD署名が見つかりません
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,ファイルが破損しておりインストールできません。ルートパーティションにHFS0署名が見つかりません
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,ファイルが破損しておりインストールできません。セキュアパーティションにHFS0署名が見つかりません
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,ファイルが破損しているためインストールできません。PFS0署名が見つかりません
Файл слишком большой для хранилища,ストレージに対してファイルが大きすぎます
Файл: {},ファイル: {}
Фиксация ФС...,ファイルシステムをコミット中...
Финальный размер: {},最終サイズ: {}
Формирование списка...,リストを生成中...
Форсированный язык    : {},強制言語       : {}
Форсированный язык    : {} ({}),強制言語       : {} ({})
Форсировать язык,言語を強制
Французский,フランス語
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTPストレージ
Хранилище только для чтения,読み取り専用ストレージ
Целевая запись о контенте не найдена,ターゲットコンテンツレコードが見つかりません
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,コンテンツの一部が不足しています。ゲームは動作しません
Число транзисторов: {:>3},トランジスタ数: {:>3}
Число уникальных сыграных игр : {},プレイしたユニークなゲーム数 : {}
Число ходов:        {:>3},ターン数:               {:>3}
Чтение каталога...,ディレクトリを読み込み中...
Чтение списка файлов...,ファイルリストを読み込み中...
Что-то плохое грядёт,何か悪いことが起きようとしている
Что-то пошло не так. Пропускаем оставшийся файл,何かがうまくいきませんでした。残りのファイルをスキップします
"Чтобы вернуться, нажмите B",Bボタンを押して戻る
Шадок у Гиби,ギビのシャドック
Экспорт SDK,SDKエクスポート
Экспортировать,エクスポート
Экспортировать SDK,SDKをエクスポート
Январь,1月
Японский,日本語
Ярлык для DBI,DBIのショートカット
да,はい
не является LFS папкой,LFSフォルダーではありません
не является LFS папкой игры,ゲームLFSフォルダーではありません
нет,いいえ
"ZL/ZR - смена даты, Y - период",ZL/ZR - 日付変更、Y - 期間
"Получено: {}, (скорость не определена)","受信: {}, (速度未定義)"
Игры добавлены в список исключений,ゲームを除外リストに追加しました
Новых игр в список исключений добавлено не было,除外リストに新しいゲームは追加されていません
Просмотр МТР устройства [{}],MTPデバイスを表示 [{}]
Просмотр USB диска [{}],USBドライブを表示 [{}]
Заряд батареи (сырое значение) : {},バッテリー残量（未加工値） : {}
ru,jp
[CRC ОШИБКА ФАЙЛА],[ファイルCRCエラー]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,システムファームウェアをファイル {} からダウンロードしてインストールします。\n\n続行するには (+) を押してください\nキャンセルするには他のボタンを押してください
Распаковка архива не удалась,アーカイブの解凍に失敗しました
Сканирование архива не удалось,アーカイブのスキャンに失敗しました
Установить все обновления из этой папки,このフォルダーからすべてのアップデートをインストール
Япония,日本
Русский,ロシア語
Февраль,2月
Октябрь,10月
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,11月
Игрок,プレイヤー
Время,時間
Контент,コンテンツ
[HASH: OK],[HASH: OK]
Красная,赤い
[HASH MISMATCH: Неисправимо],[ハッシュ不一致: 回復不能]
[ПРЕД],[前へ]
Альбом,アルバム
Выход,終了
и т.д...,など...
{} бекап,{} バックアップ
874,874
Пишется тело: {}/{}MB \r,ボディ書き込み中: {}/{}MB \r
Пишется скриншот\n,スクリーンショットを書き込み中\n
Пишется таблица хешей\n,ハッシュテーブルを書き込み中\n
Пишется подпись видео\n,ビデオ署名を書き込み中\n
Операция завершена\n,操作が完了しました\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",ファイル {} からシステムファームウェアがダウンロードおよびインストールされます。\n\n警告!!! このバージョンは現在のAtmosphereではサポートされていないようです。\n\n続行するには(+)を押してください\nキャンセルするには他のボタンを押してください
Копирование файла не удалось,ファイルのコピーに失敗しました
Daybreak.nro не найден,Daybreak.nro が見つかりません
Изображение добавлено в альбом,画像がアルバムに追加されました
Ошибка добавления изобржения в альбом: {},アルバムへの画像追加エラー: {}
Добавить в альбом,アルバムに追加
Анализ mp4 файла,mp4ファイルを解析中
Длительность: {},再生時間: {}
ОШИБКА! Файл не содержит один видео трек,エラー！ファイルにビデオトラックが1つ含まれていません
ОШИБКА! Файл не содержит один аудио трек,エラー！ファイルにオーディオトラックが1つ含まれていません
ОШИБКА! У видео трека неподдерживаемый кодек,エラー！ビデオトラックのコーデックがサポートされていません
ОШИБКА! У аудио трека неподдерживаемый кодек,エラー！オーディオトラックにサポートされていないコーデックが含まれています
ОШИБКА! Аудио трек не стерео,エラー！オーディオトラックがステレオではありません
[{}] Общий тикет для {},[{}] {} の共通チケット
ОШИБКА! У аудио трека неподходящая частота дискретизации,エラー！オーディオトラックのサンプリングレートが不適切です
ОШИБКА! У видео трека неподходящая ширина,エラー！ビデオトラックの幅が不適切です
ОШИБКА! У видео трека неподходящая высота,エラー！ビデオトラックの高さが不適切です
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,注意！ビデオストリームにBフレームが含まれている可能性があります。ファイルが再生されない場合があります
"Похоже, это не MP4 файл",これはMP4ファイルではないようです
Открыть как RomFS,RomFSとして開く
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,SDカードは偽造品です。確認済みのSDカードに交換することをお勧めします。
[{}] Персональный тикет для {},[{}] {} の個人チケット
