original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Auswahl, Y - Auswahl umkehren, (+) - Menü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Auswahl, Y - Auswahl umkehren, (+) - Menü, L3 - Starten"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Auswahl, Y - Auswahl umkehren, (+) - Menü, R3 - Sortieren"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Auswahl, Y - Auswahl umkehren, (+) - Menü, R3 - Sortieren, L3 - Starten"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Auswahl, Y - Auswahl umkehren, A - Öffnen, (-) - 2. Panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Auswahl, Y - Auswahl umkehren, ⬅/➡ - Panel wechseln, (-) - Schließen"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Datum ändern, Y - Zeitraum, X - Sortieren, (+) - Benutzer wählen"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Spielzeit \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Systempartition konnte nicht gemountet werden
"DPAD или стики для перемещения, (+) - Настройки","Steuerkreuz oder Sticks zum Bewegen, (+) - Einstellungen"
Ошибка создания файла: {},Fehler beim Erstellen der Datei: {}
Подключение к серверу...,Verbindung zum Server wird hergestellt...
   Это действие будет нельзя отменить   ,   Diese Aktion kann nicht rückgängig gemacht werden   
SDK подменён,SDK ersetzt
Точка доступа,Zugangspunkt
Традиционный китайский,Traditionelles Chinesisch
Транзисторов:      {:>3},Transistoren:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Die Zeitsynchronisation über das Internet muss in den Einstellungen manuell aktiviert werden
Тёмная комната,Dunkles Zimmer
Убрать из любимых,Aus Favoriten entfernen
Увеличить размер (в МБ),Größe erhöhen (in MB)
"Уверены, что хотите продолжить?","Sind Sie sicher, dass Sie fortfahren möchten?"
Удаление Wi-Fi профиля,WLAN-Profil löschen
Удаление Wi-Fi профиля...,WLAN-Profil wird gelöscht...
Удаление {} бекапа,Lösche {} Backup
Удаление {} бекапов,Lösche {} Backups
Удаление {} сохранений,Lösche {} Spielstände
Удаление {} сохранения,Lösche {} Spielstand
Удаление бекапов,Lösche Backups
Удаление записи об игре...,Löschen des Spieleintrags...
Удаление игр,Spiele löschen
Удаление игры целиком: [{}],Spiel vollständig löschen: [{}]
Удаление каталога LFS,LFS-Verzeichnis löschen
Удаление контента,Inhalt löschen
Удаление настроек родительского контроля...,Elternkontrolle-Einstellungen löschen...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,"Löschen fehlgeschlagen.\n\nDrücke eine beliebige Taste, um fortzufahren"
Удаление неиспользуемого {}...,Löschen von ungenutztem {}...
Удаление плейсхолдера...,Platzhalter löschen...
Удаление пользователя,Benutzer löschen
Удаление пользователя...,Benutzer löschen...
Удаление ранее установленных файлов...,Zuvor installierte Dateien löschen...
Удаление родительского контроля,Elternkontrolle löschen
SaveFS очищена,SaveFS bereinigt
Удаление связи с Nintendo account...,Nintendo-Account-Verknüpfung löschen...
Удаление сохранений,Spielstände löschen
Удаление сохранения целиком,Vollständiges Speichern löschen
Удаление старого     {}...,Lösche altes     {}...
Удаление старого файла {}...,Alte Datei {} löschen...
Удаление старой записи об игре...,Alten Spieleintrag löschen...
Удаление старой папки {}...,Alten Ordner {} löschen...
Удаление тайтла: [{}],Titel löschen: [{}]
Удаление тикетов ({}),Tickets löschen ({})
Удаление...,Löschen...
Удалить,Löschen
Удалить LFS,LFS löschen
Удалить сохранения,Spielstände löschen
Удалить старые бекапы,Alte Backups löschen
Удаляется {} из {}...,Lösche {} von {}...
Удаляется {}...,Lösche {}...
Удаляется запись о контенте...,Inhaltseintrag wird gelöscht...
Удаляется запись об игре...,Spieleintrag wird gelöscht...
Удаляется игра и весь связанный контент,Spiel und alle zugehörigen Inhalte werden gelöscht
Titlekey не может быть инициализирован,Titlekey kann nicht initialisiert werden
Удаляется папка LFS...,LFS-Ordner wird gelöscht...
Удаляется пустая папка,Leerer Ordner wird gelöscht
Удаляется сохранение {}...,Spielstand {} wird gelöscht...
Удаляется старая запись о контенте...,Alter Inhaltseintrag wird gelöscht...
Удаляется старый cnmt.nca...,Alte cnmt.nca wird gelöscht...
Удаляется тикет: {}...,Ticket wird gelöscht: {}...
Удаляются все объекты из альбома для игры,Alle Objekte aus dem Spielalbum werden gelöscht
Удаляются все сохранения для игры,Alle Spielstände für das Spiel werden gelöscht
Удаляются сохранения...,Spielstände werden gelöscht...
"UID: {}, Ник: {}","UID: {}, Spitzname: {}"
Удалённые,Gelöscht
Удачный экспорт,Erfolgreicher Export
Уделение старого тикета...,Lösche altes Ticket...
Упаковка каталога в RomFS,Verzeichnis in RomFS verpacken
Упрощенный китайский,Vereinfachtes Chinesisch
Успешно разобран как PFS0 файл,Erfolgreich als PFS0-Datei analysiert
Устанавливается {},Installiere {}
Установить как аватар...,Als Avatar festlegen...
Установка,Installation
Установка анлокера...,Installation des Unlockers...
Установка завершена,Installation abgeschlossen
Установка игр (NAND),Spiele installieren (NAND)
Установка игр (SD Card),Spieleinstallation (SD-Karte)
Установка игры завершена,Spielinstallation abgeschlossen
Установка обновлений игр,Spiel-Updates installieren
Установка прервана,Installation unterbrochen
Установка тайтлов ({}/{}),Titel installieren ({}/{})
USB Соединение,USB-Verbindung
Установка ярлыка...,Installiere Verknüpfung...
Установлен,Installiert
Установленные,Installierte
Установленные homebrew,Installierte Homebrew
Установленные homebrew ({}),Installierte Homebrew ({})
Установленные игры,Installierte Spiele
Установленные тикеты,Installierte Tickets
Установленные тикеты ({}),Installierte Tickets ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Datei ist beschädigt und kann nicht installiert werden. HEAD-Signatur nicht gefunden
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Datei ist beschädigt und kann nicht installiert werden. HFS0-Signatur in Root-Partition nicht gefunden
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Datei ist beschädigt und kann nicht installiert werden. HFS0-Signatur in Secure-Partition nicht gefunden
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Datei beschädigt und kann nicht installiert werden. PFS0-Signatur nicht gefunden
Файл слишком большой для хранилища,Datei ist zu groß für den Speicher
Файл: {},Datei: {}
Фиксация ФС...,Dateisystem-Commit...
Финальный размер: {},Endgröße: {}
Формирование списка...,Liste wird erstellt...
Форсированный язык    : {},Erzwungene Sprache         : {}
Форсированный язык    : {} ({}),Erzwungene Sprache         : {} ({})
Форсировать язык,Sprache erzwingen
Французский,Französisch
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTP-Speicher
Хранилище только для чтения,Schreibgeschützter Speicher
Целевая запись о контенте не найдена,Zieldatensatz für den Inhalt nicht gefunden
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,TEILE DES INHALTS FEHLEN. DAS SPIEL WIRD NICHT FUNKTIONIEREN
Число транзисторов: {:>3},Anzahl der Transistoren: {:>3}
Число уникальных сыграных игр : {},Anzahl der einzigartig gespielten Spiele : {}
Число ходов:        {:>3},Anzahl der Züge:        {:>3}
Чтение каталога...,Verzeichnis wird gelesen...
Чтение списка файлов...,Dateiliste wird gelesen...
Что-то плохое грядёт,Etwas Schlimmes kommt auf uns zu
Что-то пошло не так. Пропускаем оставшийся файл,Etwas ist schief gelaufen. Die verbleibende Datei wird übersprungen
"Чтобы вернуться, нажмите B","Drücken Sie B, um zurückzukehren"
Шадок у Гиби,Shadok bei Gibi
Экспорт SDK,SDK-Export
Экспортировать,Exportieren
Экспортировать SDK,SDK exportieren
Январь,Januar
Японский,Japanisch
Ярлык для DBI,Verknüpfung für DBI
да,ja
не является LFS папкой,ist kein LFS-Ordner
не является LFS папкой игры,ist kein Spiel-LFS-Ordner
нет,nein
"ZL/ZR - смена даты, Y - период","ZL/ZR - Datum ändern, Y - Zeitraum"
"Получено: {}, (скорость не определена)","Empfangen: {}, (Geschwindigkeit nicht definiert)"
Игры добавлены в список исключений,Spiele wurden zur Ausschlussliste hinzugefügt
Новых игр в список исключений добавлено не было,Es wurden keine neuen Spiele zur Ausschlussliste hinzugefügt
Просмотр МТР устройства [{}],MTP-Gerät anzeigen [{}]
Просмотр USB диска [{}],USB-Laufwerk anzeigen [{}]
Заряд батареи (сырое значение) : {},Batterieladung (Rohwert) : {}
ru,de
[CRC ОШИБКА ФАЙЛА],[DATEI-CRC-FEHLER]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,System-Firmware wird aus Datei {} heruntergeladen und installiert.\n\nDrücke (+) zum Fortfahren\nJede andere Taste zum Abbrechen
Распаковка архива не удалась,Entpacken des Archivs fehlgeschlagen
Сканирование архива не удалось,Scannen des Archivs fehlgeschlagen
Установить все обновления из этой папки,Alle Updates aus diesem Ordner installieren
Япония,Japan
Русский,Russisch
Февраль,Februar
Октябрь,Oktober
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,November
Игрок,Spieler
Время,Zeit
Контент,Inhalt
[HASH: OK],[HASH: OK]
Красная,Rote
[HASH MISMATCH: Неисправимо],[HASH-FEHLER: Nicht behebbar]
[ПРЕД],[VOR]
Альбом,Album
Выход,Beenden
и т.д...,usw...
{} бекап,{} Backup
874,874
Пишется тело: {}/{}MB \r,Schreibe Body: {}/{}MB \r
Пишется скриншот\n,Screenshot wird geschrieben\n
Пишется таблица хешей\n,Hashtabelle wird geschrieben\n
Пишется подпись видео\n,Videosignatur wird geschrieben\n
Операция завершена\n,Vorgang abgeschlossen\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",System-Firmware wird aus der Datei {} heruntergeladen und installiert.\n\nACHTUNG!!! Diese Version scheint von der aktuellen Atmosphere nicht unterstützt zu werden.\n\nDrücke (+) zum Fortfahren\nDrücke eine andere Taste zum Abbrechen
Копирование файла не удалось,Kopieren der Datei fehlgeschlagen
Daybreak.nro не найден,Daybreak.nro nicht gefunden
Изображение добавлено в альбом,Bild wurde dem Album hinzugefügt
Ошибка добавления изобржения в альбом: {},Fehler beim Hinzufügen des Bildes zum Album: {}
Добавить в альбом,Zum Album hinzufügen
Анализ mp4 файла,Analyse der mp4-Datei
Длительность: {},Dauer: {}
ОШИБКА! Файл не содержит один видео трек,FEHLER! Die Datei enthält nicht einen Videotrack
ОШИБКА! Файл не содержит один аудио трек,FEHLER! Die Datei enthält keine einzelne Audiospur
ОШИБКА! У видео трека неподдерживаемый кодек,FEHLER! Die Videospur hat einen nicht unterstützten Codec
ОШИБКА! У аудио трека неподдерживаемый кодек,FEHLER! Audiospur hat einen nicht unterstützten Codec
ОШИБКА! Аудио трек не стерео,FEHLER! Audiospur ist nicht stereo
[{}] Общий тикет для {},[{}] Gemeinsames Ticket für {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,FEHLER! Audiospur hat eine ungeeignete Abtastrate
ОШИБКА! У видео трека неподходящая ширина,FEHLER! Videospur hat eine ungeeignete Breite
ОШИБКА! У видео трека неподходящая высота,FEHLER! Videospur hat eine ungeeignete Höhe
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,ACHTUNG! Videostream enthält möglicherweise B-Frames. Die Datei wird möglicherweise nicht abgespielt
"Похоже, это не MP4 файл","Es sieht so aus, als ob dies keine MP4-Datei ist"
Открыть как RomFS,Als RomFS öffnen
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,"Ihre SD-Karte ist eine Fälschung. Es wird empfohlen, die SD-Karte durch eine geprüfte zu ersetzen."
[{}] Персональный тикет для {},[{}] Persönliches Ticket für {}
