original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - таңдау, Y - таңдауды инверсиялау, (+) - мәзір"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - таңдау, Y - таңдауды инверсиялау, (+) - мәзір, L3 - іске қосу"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - таңдау, Y - таңдауды инверсиялау, (+) - мәзір, R3 - сұрыптау"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - таңдау, Y - таңдауды инверсиялау, (+) - мәзір, R3 - сұрыптау, L3 - іске қосу"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - таңдау, Y - таңдауды инверсиялау, A - ашу, (-) - 2-ші панель"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - таңдау, Y - таңдауды инверсиялау, ⬅/➡ - панельді ауыстыру, (-) - жабу"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - күнді өзгерту, Y - кезең, X - сұрыптау, (+) - пайдаланушыны таңдау"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Ойын уақыты \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Жүйелік бөлімді тіркеу мүмкін емес
"DPAD или стики для перемещения, (+) - Настройки","Жылжу үшін DPAD немесе стиктер, (+) - Параметрлер"
Ошибка создания файла: {},Файлды жасау қатесі: {}
Подключение к серверу...,Серверге қосылу...
   Это действие будет нельзя отменить   ,   Бұл әрекетті болдырмау мүмкін болмайды   
SDK подменён,SDK ауыстырылды
Точка доступа,Кіру нүктесі
Традиционный китайский,Дәстүрлі қытай
Транзисторов:      {:>3},Транзисторлар:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Параметрлерде Интернет арқылы уақытты синхрондауды қолмен қосу қажет
Тёмная комната,Қараңғы бөлме
Убрать из любимых,Таңдаулылардан алып тастау
Увеличить размер (в МБ),Өлшемін үлкейту (МБ)
"Уверены, что хотите продолжить?",Жалғастырғыңыз келетініне сенімдісіз бе?
Удаление Wi-Fi профиля,Wi-Fi профилін жою
Удаление Wi-Fi профиля...,Wi-Fi профилін жою...
Удаление {} бекапа,{} резервтік көшірмесін жою
Удаление {} бекапов,{} резервтік көшірмені жою
Удаление {} сохранений,{} сақтауды жою
Удаление {} сохранения,{} сақтауды жою
Удаление бекапов,Резервтік көшірмелерді жою
Удаление записи об игре...,Ойын жазбасын өшіру...
Удаление игр,Ойындарды өшіру
Удаление игры целиком: [{}],Ойынды толығымен жою: [{}]
Удаление каталога LFS,LFS каталогын өшіру
Удаление контента,Контентті өшіру
Удаление настроек родительского контроля...,Ата-ана бақылауы параметрлерін өшіру...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Өшіру сәтсіз аяқталды.\n\nЖалғастыру үшін кез келген түймені басыңыз
Удаление неиспользуемого {}...,Пайдаланылмайтын {} өшіру...
Удаление плейсхолдера...,Толтырғышты өшіру...
Удаление пользователя,Пайдаланушыны өшіру
Удаление пользователя...,Пайдаланушыны өшіру...
Удаление ранее установленных файлов...,Бұрын орнатылған файлдарды өшіру...
Удаление родительского контроля,Ата-ана бақылауын өшіру
SaveFS очищена,SaveFS тазаланды
Удаление связи с Nintendo account...,Nintendo аккаунтымен байланысты өшіру...
Удаление сохранений,Сақтауларды өшіру
Удаление сохранения целиком,Сақтауды толығымен өшіру
Удаление старого     {}...,Ескіні жою     {}...
Удаление старого файла {}...,Ескі {} файлын өшіру...
Удаление старой записи об игре...,Ескі ойын жазбасын өшіру...
Удаление старой папки {}...,Ескі {} қалтасын өшіру...
Удаление тайтла: [{}],Тайтлды өшіру: [{}]
Удаление тикетов ({}),Тикеттерді өшіру ({})
Удаление...,Өшіру...
Удалить,Өшіру
Удалить LFS,LFS өшіру
Удалить сохранения,Сақтауларды өшіру
Удалить старые бекапы,Ескі резервтік көшірмелерді өшіру
