original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - vali, Y - pööra valik, (+) - menüü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - vali, Y - pööra valik, (+) - menüü, L3 - käivita"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - vali, Y - pööra valik, (+) - menüü, R3 - sorteeri"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - vali, Y - pööra valik, (+) - menüü, R3 - sorteeri, L3 - käivita"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - vali, Y - pööra valik, A - ava, (-) - 2. paneel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - vali, Y - pööra valik, ⬅/➡ - vaheta paneeli, (-) - sulge"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - muuda kuupäeva, Y - periood, X - sorteeri, (+) - vali kasutaja"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Mänguaeg \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Süsteemi sektsiooni ei saa monteerida
"DPAD или стики для перемещения, (+) - Настройки","DPAD või kange liigutamiseks, (+) - Seaded"
Ошибка создания файла: {},Viga faili loomisel: {}
Подключение к серверу...,Serveriga ühendamine...
   Это действие будет нельзя отменить   ,   Seda toimingut ei saa tühistada   
SDK подменён,SDK on asendatud
Точка доступа,Pääsupunkt
Традиционный китайский,Traditsiooniline hiina
Транзисторов:      {:>3},Transistoreid:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Seadetes on vaja käsitsi lubada aja sünroonimine Interneti kaudu
Тёмная комната,Pime tuba
Убрать из любимых,Eemalda lemmikutest
Увеличить размер (в МБ),Suurenda suurust (MB)
"Уверены, что хотите продолжить?","Kas olete kindel, et soovite jätkata?"
Удаление Wi-Fi профиля,Wi-Fi profiili kustutamine
Удаление Wi-Fi профиля...,Wi-Fi profiili kustutamine...
Удаление {} бекапа,Varukoopia {} kustutamine
Удаление {} бекапов,{} varukoopia kustutamine
Удаление {} сохранений,{} salvestise kustutamine
Удаление {} сохранения,{} salvestise kustutamine
Удаление бекапов,Varukoopiate kustutamine
Удаление записи об игре...,Mängu kirje kustutamine...
Удаление игр,Mängude kustutamine
Удаление игры целиком: [{}],Kustuta kogu mäng: [{}]
Удаление каталога LFS,LFS-kataloogi kustutamine
Удаление контента,Sisu kustutamine
Удаление настроек родительского контроля...,Vanemliku järelevalve seadete kustutamine...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Kustutamine ebaõnnestus.\n\nJätkamiseks vajutage suvalist nuppu
Удаление неиспользуемого {}...,Kasutamata {} kustutamine...
Удаление плейсхолдера...,Kohatäite kustutamine...
Удаление пользователя,Kasutaja kustutamine
Удаление пользователя...,Kasutaja kustutamine...
Удаление ранее установленных файлов...,Varem installitud failide kustutamine...
Удаление родительского контроля,Vanemliku järelevalve kustutamine
SaveFS очищена,SaveFS puhastatud
Удаление связи с Nintendo account...,Nintendo konto lingi kustutamine...
Удаление сохранений,Salvestuste kustutamine
Удаление сохранения целиком,Salvestuse täielik kustutamine
Удаление старого     {}...,Vana kustutamine     {}...
Удаление старого файла {}...,Vana faili {} kustutamine...
Удаление старой записи об игре...,Vana mängu kirje kustutamine...
Удаление старой папки {}...,Vana kausta {} kustutamine...
Удаление тайтла: [{}],Pealkirja kustutamine: [{}]
Удаление тикетов ({}),Piletite kustutamine ({})
Удаление...,Kustutamine...
Удалить,Kustuta
Удалить LFS,Kustuta LFS
Удалить сохранения,Kustuta salvestused
Удалить старые бекапы,Kustuta vanad varukoopiad
Удаляется {} из {}...,Kustutatakse {} / {}...
Удаляется {}...,Kustutatakse {}...
Удаляется запись о контенте...,Sisu kirje kustutamine...
Удаляется запись об игре...,Mängu kirje kustutamine...
Удаляется игра и весь связанный контент,Mängu ja kogu seotud sisu kustutamine
Titlekey не может быть инициализирован,Titlekey ei saa lähtestada
Удаляется папка LFS...,LFS-kausta kustutamine...
Удаляется пустая папка,Tühja kausta kustutamine
Удаляется сохранение {}...,Salvestuse {} kustutamine...
Удаляется старая запись о контенте...,Vana sisu kirje kustutamine...
Удаляется старый cnmt.nca...,Vana cnmt.nca kustutamine...
Удаляется тикет: {}...,Pileti kustutamine: {}...
Удаляются все объекты из альбома для игры,Kõigi üksuste kustutamine mängu albumist
Удаляются все сохранения для игры,Kõigi mängu salvestuste kustutamine
Удаляются сохранения...,Kustutan salvestatud andmeid...
"UID: {}, Ник: {}","UID: {}, Hüüdnimi: {}"
Удалённые,Kustutatud
Удачный экспорт,Edukas eksport
Уделение старого тикета...,Kustutan vana piletit...
Упаковка каталога в RomFS,Kataloogi pakkimine RomFS-i
Упрощенный китайский,Lihtsustatud hiina keel
Успешно разобран как PFS0 файл,Edukalt parsisitud kui PFS0-fail
Устанавливается {},Installin {}
Установить как аватар...,Määra avatariks...
Установка,Installimine
