original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - wybierz, Y - odwróć zaznaczenie, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - wybierz, Y - odwróć zaznaczenie, (+) - menu, L3 - uruchom"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - wybierz, Y - odwróć zaznaczenie, (+) - menu, R3 - sortuj"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - wybierz, Y - odwróć zaznaczenie, (+) - menu, R3 - sortuj, L3 - uruchom"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - wybierz, Y - odwróć zaznaczenie, A - otwórz, (-) - 2. panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - wybierz, Y - odwróć zaznaczenie, ⬅/➡ - zmień panel, (-) - zamknij"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - zmiana daty, Y - okres, X - sortuj, (+) - wybierz użytkownika"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Czas gry \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nie można zamontować partycji systemowej
"DPAD или стики для перемещения, (+) - Настройки","DPAD lub drążki do poruszania się, (+) - Ustawienia"
Ошибка создания файла: {},Błąd podczas tworzenia pliku: {}
Подключение к серверу...,Łączenie z serwerem...
   Это действие будет нельзя отменить   ,   Tej czynności nie można cofnąć   
SDK подменён,SDK podmieniony
Точка доступа,Punkt dostępowy
Традиционный китайский,Chiński tradycyjny
Транзисторов:      {:>3},Tranzystorów:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Wymagane jest ręczne włączenie synchronizacji czasu przez Internet w ustawieniach
Тёмная комната,Ciemny pokój
Убрать из любимых,Usuń z ulubionych
Увеличить размер (в МБ),Zwiększ rozmiar (w MB)
"Уверены, что хотите продолжить?",Czy na pewno chcesz kontynuować?
Удаление Wi-Fi профиля,Usuwanie profilu Wi-Fi
Удаление Wi-Fi профиля...,Usuwanie profilu Wi-Fi...
Удаление {} бекапа,Usuwanie kopii zapasowej {}
Удаление {} бекапов,Usuwanie {} kopii zapasowych
Удаление {} сохранений,Usuwanie {} zapisów gry
Удаление {} сохранения,Usuwanie {} zapisu gry
Удаление бекапов,Usuwanie kopii zapasowych
Удаление записи об игре...,Usuwanie wpisu gry...
Удаление игр,Usuwanie gier
Удаление игры целиком: [{}],Usuń całą grę: [{}]
Удаление каталога LFS,Usuwanie katalogu LFS
Удаление контента,Usuwanie zawartości
Удаление настроек родительского контроля...,Usuwanie ustawień kontroli rodzicielskiej...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,"Usuwanie nie powiodło się.\n\nNaciśnij dowolny przycisk, aby kontynuować"
Удаление неиспользуемого {}...,Usuwanie nieużywanego {}...
Удаление плейсхолдера...,Usuwanie symbolu zastępczego...
Удаление пользователя,Usuwanie użytkownika
Удаление пользователя...,Usuwanie użytkownika...
Удаление ранее установленных файлов...,Usuwanie wcześniej zainstalowanych plików...
Удаление родительского контроля,Usuwanie kontroli rodzicielskiej
SaveFS очищена,SaveFS wyczyszczone
Удаление связи с Nintendo account...,Usuwanie powiązania z kontem Nintendo...
Удаление сохранений,Usuwanie zapisów gry
Удаление сохранения целиком,Usuwanie całego zapisu gry
Удаление старого     {}...,Usuwanie starego     {}...
Удаление старого файла {}...,Usuwanie starego pliku {}...
Удаление старой записи об игре...,Usuwanie starego wpisu gry...
Удаление старой папки {}...,Usuwanie starego folderu {}...
Удаление тайтла: [{}],Usuwanie tytułu: [{}]
Удаление тикетов ({}),Usuwanie biletów ({})
Удаление...,Usuwanie...
Удалить,Usuń
Удалить LFS,Usuń LFS
Удалить сохранения,Usuń zapisy gry
Удалить старые бекапы,Usuń stare kopie zapasowe
Удаляется {} из {}...,Usuwanie {} z {}...
Удаляется {}...,Usuwanie {}...
Удаляется запись о контенте...,Usuwanie wpisu zawartości...
Удаляется запись об игре...,Usuwanie wpisu gry...
Удаляется игра и весь связанный контент,Usuwanie gry i całej powiązanej zawartości
Titlekey не может быть инициализирован,Nie można zainicjować Titlekey
Удаляется папка LFS...,Usuwanie folderu LFS...
Удаляется пустая папка,Usuwanie pustego folderu
Удаляется сохранение {}...,Usuwanie zapisu {}...
Удаляется старая запись о контенте...,Usuwanie starego wpisu zawartości...
Удаляется старый cnmt.nca...,Usuwanie starego cnmt.nca...
Удаляется тикет: {}...,Usuwanie biletu: {}...
Удаляются все объекты из альбома для игры,Usuwanie wszystkich elementów z albumu gry
Удаляются все сохранения для игры,Usuwanie wszystkich zapisów gry
Удаляются сохранения...,Usuwanie zapisów...
"UID: {}, Ник: {}","UID: {}, Pseudonim: {}"
Удалённые,Usunięte
Удачный экспорт,Udany eksport
Уделение старого тикета...,Usuwanie starego biletu...
Упаковка каталога в RomFS,Pakowanie katalogu do RomFS
