original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 選擇, Y - 反轉選擇, (+) - 菜單"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 選擇, Y - 反轉選擇, (+) - 菜單, L3 - 啟動"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 選擇, Y - 反轉選擇, (+) - 菜單, R3 - 排序"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 選擇, Y - 反轉選擇, (+) - 菜單, R3 - 排序, L3 - 啟動"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 選擇, Y - 反轉選擇, A - 打開, (-) - 第2面板"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 選擇, Y - 反轉選擇, ⬅/➡ - 切換面板, (-) - 關閉"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 更改日期, Y - 期間, X - 排序, (+) - 選擇用戶"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 遊玩時間 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,無法掛載系統分區
"DPAD или стики для перемещения, (+) - Настройки","十字鍵或搖桿移動, (+) - 設置"
Ошибка создания файла: {},建立檔案出錯: {}
Подключение к серверу...,正在連接伺服器...
   Это действие будет нельзя отменить   ,   此操作將無法撤銷   
SDK подменён,SDK 已替換
Точка доступа,存取點
Традиционный китайский,繁體中文
Транзисторов:      {:>3},晶體管:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,需要在設置中手動啟用互聯網時間同步
Тёмная комната,暗室
Убрать из любимых,從收藏中移除
Увеличить размер (в МБ),增加大小 (MB)
"Уверены, что хотите продолжить?",確認要繼續嗎？
Удаление Wi-Fi профиля,正在刪除 Wi-Fi 設定檔
Удаление Wi-Fi профиля...,正在刪除 Wi-Fi 設定檔...
Удаление {} бекапа,正在刪除 {} 備份
Удаление {} бекапов,正在刪除 {} 個備份
Удаление {} сохранений,正在刪除 {} 個存檔
Удаление {} сохранения,正在刪除 {} 存檔
Удаление бекапов,正在刪除備份
Удаление записи об игре...,正在刪除遊戲紀錄...
Удаление игр,正在刪除遊戲
Удаление игры целиком: [{}],徹底刪除遊戲：[{}]
Удаление каталога LFS,正在刪除 LFS 目錄
Удаление контента,正在刪除內容
Удаление настроек родительского контроля...,正在刪除家長控制設定...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,刪除失敗。\n\n按任意鍵繼續
Удаление неиспользуемого {}...,正在刪除未使用的 {}...
Удаление плейсхолдера...,正在刪除佔位符...
Удаление пользователя,正在刪除使用者
Удаление пользователя...,正在刪除使用者...
Удаление ранее установленных файлов...,正在刪除先前安裝的文件...
Удаление родительского контроля,正在刪除家長控制
SaveFS очищена,SaveFS 已清除
Удаление связи с Nintendo account...,正在刪除 Nintendo 帳號關聯...
Удаление сохранений,正在刪除存檔
Удаление сохранения целиком,正在刪除完整存檔
Удаление старого     {}...,正在刪除舊的     {}...
Удаление старого файла {}...,正在刪除舊文件 {}...
Удаление старой записи об игре...,正在刪除舊的遊戲紀錄...
Удаление старой папки {}...,正在刪除舊資料夾 {}...
Удаление тайтла: [{}],正在刪除標題：[{}]
Удаление тикетов ({}),正在刪除權狀 ({})
Удаление...,正在刪除...
Удалить,刪除
Удалить LFS,刪除 LFS
Удалить сохранения,刪除存檔
Удалить старые бекапы,刪除舊備份
Удаляется {} из {}...,正在刪除 {} / {}...
Удаляется {}...,正在刪除 {}...
Удаляется запись о контенте...,正在刪除內容紀錄...
Удаляется запись об игре...,正在刪除遊戲紀錄...
Удаляется игра и весь связанный контент,正在刪除遊戲及其所有相關內容
Titlekey не может быть инициализирован,Titlekey 無法初始化
Удаляется папка LFS...,正在刪除 LFS 資料夾...
Удаляется пустая папка,正在刪除空資料夾
Удаляется сохранение {}...,正在刪除存檔 {}...
Удаляется старая запись о контенте...,正在刪除舊內容紀錄...
Удаляется старый cnmt.nca...,正在刪除舊的 cnmt.nca...
Удаляется тикет: {}...,正在刪除權狀：{}...
Удаляются все объекты из альбома для игры,正在刪除遊戲相簿中的所有項目
Удаляются все сохранения для игры,正在刪除遊戲的所有存檔
Удаляются сохранения...,正在刪除存檔...
"UID: {}, Ник: {}","UID: {}, 暱稱: {}"
Удалённые,已刪除
Удачный экспорт,匯出成功
Уделение старого тикета...,正在刪除舊票據...
Упаковка каталога в RomFS,將目錄打包為 RomFS
Упрощенный китайский,簡體中文
Успешно разобран как PFS0 файл,已成功解析為 PFS0 檔案
Устанавливается {},正在安裝 {}
Установить как аватар...,設定為頭像...
Установка,安裝
Установка анлокера...,正在安裝解鎖器...
Установка завершена,安裝完成
Установка игр (NAND),安裝遊戲 (NAND)
Установка игр (SD Card),安裝遊戲 (SD 卡)
Установка игры завершена,遊戲安裝完成
Установка обновлений игр,安裝遊戲更新
Установка прервана,安裝已中斷
Установка тайтлов ({}/{}),正在安裝標題 ({}/{})
USB Соединение,USB 連接
Установка ярлыка...,正在安裝捷徑...
Установлен,已安裝
Установленные,已安裝
Установленные homebrew,已安裝的自製程式
Установленные homebrew ({}),已安裝的自製程式 ({})
Установленные игры,已安裝的遊戲
Установленные тикеты,已安裝的票據
Установленные тикеты ({}),已安裝的票據 ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,檔案已損毀，無法安裝。找不到 HEAD 簽章
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,檔案已損毀，無法安裝。在根分區中找不到 HFS0 簽章
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,檔案已損毀，無法安裝。在安全分區中找不到 HFS0 簽章
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,檔案已損壞，無法安裝。找不到 PFS0 簽章
Файл слишком большой для хранилища,檔案對於儲存空間來說太大
Файл: {},檔案: {}
Фиксация ФС...,檔案系統提交...
Финальный размер: {},最終大小: {}
Формирование списка...,正在產生列表...
Форсированный язык    : {},強制語言  : {}
Форсированный язык    : {} ({}),強制語言  : {} ({})
Форсировать язык,強制語言
Французский,法語
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTP 儲存空間
Хранилище только для чтения,唯讀儲存空間
Целевая запись о контенте не найдена,找不到目標內容記錄
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,部分內容缺失。遊戲將無法執行
Число транзисторов: {:>3},電晶體數量: {:>3}
Число уникальных сыграных игр : {},已玩獨特遊戲數量    : {}
Число ходов:        {:>3},回合數:                 {:>3}
Чтение каталога...,正在讀取目錄...
Чтение списка файлов...,正在讀取檔案列表...
Что-то плохое грядёт,不祥之事即將發生
Что-то пошло не так. Пропускаем оставшийся файл,出錯了。正在跳過剩餘檔案
"Чтобы вернуться, нажмите B",按 B 返回
Шадок у Гиби,吉比的沙多克
Экспорт SDK,SDK 匯出
Экспортировать,匯出
Экспортировать SDK,匯出 SDK
Январь,一月
Японский,日語
Ярлык для DBI,DBI 捷徑
да,是
не является LFS папкой,不是 LFS 資料夾
не является LFS папкой игры,不是遊戲 LFS 資料夾
нет,否
"ZL/ZR - смена даты, Y - период",ZL/ZR - 更改日期，Y - 期間
"Получено: {}, (скорость не определена)","已接收: {}, (速度未定義)"
Игры добавлены в список исключений,遊戲已加入排除列表
Новых игр в список исключений добавлено не было,沒有新遊戲被加入到排除列表中
Просмотр МТР устройства [{}],查看 MTP 裝置 [{}]
Просмотр USB диска [{}],查看 USB 磁碟 [{}]
Заряд батареи (сырое значение) : {},電池電量（原始值） : {}
ru,zhtw
[CRC ОШИБКА ФАЙЛА],[檔案 CRC 錯誤]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,系統韌體將從檔案 {} 下載並安裝。\n\n按 (+) 繼續\n按其他按鈕取消
Распаковка архива не удалась,封存檔解壓縮失敗
Сканирование архива не удалось,封存檔掃描失敗
Установить все обновления из этой папки,安裝此資料夾中的所有更新
Япония,日本
Русский,俄語
Февраль,二月
Октябрь,十月
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,十一月
Игрок,玩家
Время,時間
Контент,內容
[HASH: OK],[HASH: OK]
Красная,紅色的
[HASH MISMATCH: Неисправимо],[雜湊不匹配: 不可恢復]
[ПРЕД],[上一頁]
Альбом,相簿
Выход,退出
и т.д...,等等...
{} бекап,{} 備份
874,874
Пишется тело: {}/{}MB \r,正在寫入內文: {}/{}MB \r
Пишется скриншот\n,正在寫入螢幕截圖\n
Пишется таблица хешей\n,正在寫入雜湊表\n
Пишется подпись видео\n,正在寫入影片簽名\n
Операция завершена\n,操作已完成\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",將從檔案 {} 下載並安裝系統韌體。\n\n警告!!! 此版本似乎不受目前的 Atmosphere 支援。\n\n按 (+) 繼續\n按其他任何按鈕取消
Копирование файла не удалось,複製檔案失敗
Daybreak.nro не найден,未找到 Daybreak.nro
Изображение добавлено в альбом,圖片已新增至相簿
Ошибка добавления изобржения в альбом: {},新增圖片至相簿時發生錯誤: {}
Добавить в альбом,加入相簿
Анализ mp4 файла,分析 mp4 檔案
Длительность: {},時長: {}
ОШИБКА! Файл не содержит один видео трек,錯誤！檔案不包含一個影片軌道
ОШИБКА! Файл не содержит один аудио трек,錯誤！檔案不包含一個音訊軌道
ОШИБКА! У видео трека неподдерживаемый кодек,錯誤！視訊軌道具有不支援的編解碼器
