original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Pilih, Y - Balik pilihan, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Pilih, Y - Balik pilihan, (+) - Menu, L3 - Jalankan"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Pilih, Y - Balik pilihan, (+) - Menu, R3 - Urutkan"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Pilih, Y - Balik pilihan, (+) - Menu, R3 - Urutkan, L3 - Jalankan"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Pilih, Y - Balik pilihan, A - Buka, (-) - Panel ke-2"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Pilih, Y - Balik pilihan, ⬅/➡ - Ganti panel, (-) - Tutup"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Ganti tanggal, Y - Periode, X - Urutkan, (+) - Pilih pengguna"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Waktu main \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Gagal me-mount partisi sistem
"DPAD или стики для перемещения, (+) - Настройки","DPAD atau stik untuk bergerak, (+) - Pengaturan"
Ошибка создания файла: {},Gagal membuat file: {}
Подключение к серверу...,Menyambung ke server...
   Это действие будет нельзя отменить   ,   Tindakan ini tidak bisa dibatalkan   
SDK подменён,SDK diganti
Точка доступа,Access point
Традиционный китайский,Mandarin Tradisional
Транзисторов:      {:>3},Transistor:       {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Sinkronisasi waktu lewat internet harus diaktifkan manual di pengaturan
Тёмная комната,Ruang gelap
Убрать из любимых,Hapus dari favorit
Увеличить размер (в МБ),Tambah ukuran (dalam MB)
"Уверены, что хотите продолжить?",Yakin ingin melanjutkan?
Удаление Wi-Fi профиля,Menghapus profil Wi-Fi
Удаление Wi-Fi профиля...,Menghapus profil Wi-Fi...
Удаление {} бекапа,Menghapus {} backup
Удаление {} бекапов,Menghapus {} backup
Удаление {} сохранений,Menghapus {} save
Удаление {} сохранения,Menghapus {} save
Удаление бекапов,Menghapus backup
Удаление записи об игре...,Menghapus record game...
Удаление игр,Menghapus game
Удаление игры целиком: [{}],Hapus game utuh: [{}]
Удаление каталога LFS,Menghapus direktori LFS
Удаление контента,Menghapus konten
Удаление настроек родительского контроля...,Menghapus pengaturan kontrol orang tua...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Penghapusan gagal.\n\nTekan tombol apa saja untuk lanjut
Удаление неиспользуемого {}...,Menghapus {} tak terpakai...
Удаление плейсхолдера...,Menghapus placeholder...
Удаление пользователя,Menghapus pengguna
Удаление пользователя...,Menghapus pengguna...
Удаление ранее установленных файлов...,Menghapus file yang sudah terpasang...
Удаление родительского контроля,Menghapus kontrol orang tua
SaveFS очищена,SaveFS dibersihkan
Удаление связи с Nintendo account...,Menghapus tautan akun Nintendo...
Удаление сохранений,Menghapus save
Удаление сохранения целиком,Menghapus seluruh save
Удаление старого     {}...,Menghapus      {} lama...
Удаление старого файла {}...,Menghapus file {} lama...
Удаление старой записи об игре...,Menghapus record game lama...
Удаление старой папки {}...,Menghapus folder {} lama...
Удаление тайтла: [{}],Menghapus title: [{}]
Удаление тикетов ({}),Menghapus ticket ({})
Удаление...,Menghapus...
Удалить,Hapus
Удалить LFS,Hapus LFS
Удалить сохранения,Hapus save
Удалить старые бекапы,Hapus backup lama
Удаляется {} из {}...,Menghapus {} dari {}...
Удаляется {}...,Menghapus {}...
Удаляется запись о контенте...,Menghapus record konten...
Удаляется запись об игре...,Menghapus record game...
Удаляется игра и весь связанный контент,Menghapus game dan semua konten terkait
Titlekey не может быть инициализирован,Titlekey tidak bisa diinisialisasi
Удаляется папка LFS...,Menghapus folder LFS...
Удаляется пустая папка,Menghapus folder kosong
Удаляется сохранение {}...,Menghapus save {}...
Удаляется старая запись о контенте...,Menghapus record konten lama...
Удаляется старый cnmt.nca...,Menghapus cnmt.nca lama...
Удаляется тикет: {}...,Menghapus ticket: {}...
Удаляются все объекты из альбома для игры,Menghapus semua item dari album game
Удаляются все сохранения для игры,Menghapus semua save untuk game ini
Удаляются сохранения...,Menghapus data save...
"UID: {}, Ник: {}","UID: {}, Nama: {}"
Удалённые,Terhapus
Удачный экспорт,Ekspor berhasil
Уделение старого тикета...,Menghapus ticket lama...
Упаковка каталога в RomFS,Mengemas direktori jadi RomFS
Упрощенный китайский,Mandarin Sederhana
Успешно разобран как PFS0 файл,Berhasil dibaca sebagai file PFS0
Устанавливается {},Memasang {}
Установить как аватар...,Jadikan avatar...
Установка,Pemasangan
Установка анлокера...,Memasang unlocker...
Установка завершена,Pemasangan selesai
Установка игр (NAND),Pasang game (NAND)
Установка игр (SD Card),Pasang game (Kartu SD)
Установка игры завершена,Pemasangan game selesai
Установка обновлений игр,Pasang update game
Установка прервана,Pemasangan terputus
Установка тайтлов ({}/{}),Memasang title ({}/{})
USB Соединение,Koneksi USB
Установка ярлыка...,Memasang shortcut...
Установлен,Terpasang
Установленные,Terpasang
Установленные homebrew,Homebrew terpasang
Установленные homebrew ({}),Homebrew terpasang ({})
Установленные игры,Game terpasang
Установленные тикеты,Ticket terpasang
Установленные тикеты ({}),Ticket terpasang ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,File rusak dan tidak bisa dipasang. Signature HEAD tidak ditemukan
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,File rusak dan tidak bisa dipasang. Signature HFS0 tidak ditemukan di partisi root
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,File rusak dan tidak bisa dipasang. Signature HFS0 tidak ditemukan di partisi secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,File rusak dan tidak bisa dipasang. Signature PFS0 tidak ditemukan
Файл слишком большой для хранилища,File terlalu besar untuk penyimpanan
Файл: {},File: {}
Фиксация ФС...,FS commit...
Финальный размер: {},Ukuran akhir: {}
Формирование списка...,Menyusun daftar...
Форсированный язык    : {},Bahasa dipaksa   : {}
Форсированный язык    : {} ({}),Bahasa dipaksa   : {} ({})
Форсировать язык,Paksa bahasa
Французский,Prancis
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Penyimpanan MTP
Хранилище только для чтения,Penyimpanan baca-saja
Целевая запись о контенте не найдена,Record konten tujuan tidak ditemukan
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,SEBAGIAN KONTEN HILANG. GAME TIDAK AKAN JALAN
Число транзисторов: {:>3},Jumlah transistor: {:>3}
Число уникальных сыграных игр : {},Jumlah game unik yang dimainkan : {}
Число ходов:        {:>3},Jumlah langkah:    {:>3}
Чтение каталога...,Membaca direktori...
Чтение списка файлов...,Membaca daftar file...
Что-то плохое грядёт,Ada sesuatu yang buruk mendekat
Что-то пошло не так. Пропускаем оставшийся файл,Ada yang salah. Melewati sisa file
"Чтобы вернуться, нажмите B",Tekan B untuk kembali
Шадок у Гиби,Orang Rawa di Rumah Tetangga
Экспорт SDK,Ekspor SDK
Экспортировать,Ekspor
Экспортировать SDK,Ekspor SDK
Январь,Januari
Японский,Jepang
Ярлык для DBI,Shortcut untuk DBI
да,ya
не является LFS папкой,bukan folder LFS
не является LFS папкой игры,bukan folder LFS game
нет,tidak
"ZL/ZR - смена даты, Y - период","ZL/ZR - ganti tanggal, Y - periode"
"Получено: {}, (скорость не определена)","Diterima: {}, (kecepatan tidak diketahui)"
Игры добавлены в список исключений,Game masuk daftar pengecualian
Новых игр в список исключений добавлено не было,Tidak ada game baru yang ditambahkan ke daftar pengecualian
Просмотр МТР устройства [{}],Melihat perangkat MTP [{}]
Просмотр USB диска [{}],Melihat drive USB [{}]
Заряд батареи (сырое значение) : {},Daya baterai (mentah)      : {}
ru,id
[CRC ОШИБКА ФАЙЛА],[ERROR CRC FILE]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Firmware sistem akan diunduh dan dipasang dari file {}.\n\nTekan (+) untuk lanjut\nTombol lain untuk batal
Распаковка архива не удалась,Ekstraksi arsip gagal
Сканирование архива не удалось,Pemindaian arsip gagal
Установить все обновления из этой папки,Pasang semua update dari folder ini
Япония,Jepang
Русский,Rusia
Февраль,Februari
Октябрь,Oktober
[HASH MISMATCH: GC ➡ eShop],[HASH BEDA: GC ➡ eShop]
Ноябрь,November
Игрок,Pemain
Время,Waktu
Контент,Konten
[HASH: OK],[HASH: OK]
Красная,Merah
[HASH MISMATCH: Неисправимо],[HASH BEDA: Tidak bisa dipulihkan]
[ПРЕД],[PREV]
Альбом,Album
Выход,Keluar
и т.д...,dst...
{} бекап,{} backup
874,874
Пишется тело: {}/{}MB \r,Menulis isi: {}/{}MB \r
Пишется скриншот\n,Menulis screenshot\n
Пишется таблица хешей\n,Menulis tabel hash\n
Пишется подпись видео\n,Menulis signature video\n
Операция завершена\n,Operasi selesai\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Firmware sistem akan diunduh dan dipasang dari file {}.\n\nPERINGATAN!!! Sepertinya versi ini tidak didukung oleh Atmosphere saat ini.\n\nTekan (+) untuk lanjut\nTekan tombol lain untuk batal
Копирование файла не удалось,Gagal menyalin file
Daybreak.nro не найден,Daybreak.nro tidak ditemukan
Изображение добавлено в альбом,Gambar ditambahkan ke album
Ошибка добавления изобржения в альбом: {},Gagal menambahkan gambar ke album: {}
Добавить в альбом,Tambah ke album
Анализ mp4 файла,Menganalisis file mp4
Длительность: {},Durasi: {}
ОШИБКА! Файл не содержит один видео трек,ERROR! File tidak berisi satu track video
ОШИБКА! Файл не содержит один аудио трек,ERROR! File tidak berisi satu track audio
ОШИБКА! У видео трека неподдерживаемый кодек,ERROR! Track video memakai codec yang tidak didukung
ОШИБКА! У аудио трека неподдерживаемый кодек,ERROR! Track audio memakai codec yang tidak didukung
ОШИБКА! Аудио трек не стерео,ERROR! Track audio bukan stereo
[{}] Общий тикет для {},[{}] Ticket umum untuk {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,ERROR! Sampling rate track audio tidak sesuai
ОШИБКА! У видео трека неподходящая ширина,ERROR! Lebar track video tidak sesuai
ОШИБКА! У видео трека неподходящая высота,ERROR! Tinggi track video tidak sesuai
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,PERINGATAN! Stream video mungkin berisi B-Frame. File mungkin tidak bisa diputar
