original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Sélectionner, Y - Inverser la sélection, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Sélectionner, Y - Inverser la sélection, (+) - Menu, L3 - Lancer"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Sélectionner, Y - Inverser la sélection, (+) - Menu, R3 - Trier"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Sélectionner, Y - Inverser la sélection, (+) - Menu, R3 - Trier, L3 - Lancer"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Sélectionner, Y - Inverser la sélection, A - Ouvrir, (-) - 2ème panneau"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Sélectionner, Y - Inverser la sélection, ⬅/➡ - Changer de panneau, (-) - Fermer"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Changer de date, Y - Période, X - Trier, (+) - Sélectionner l'utilisateur"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Temps de jeu \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Impossible de monter la partition système
"DPAD или стики для перемещения, (+) - Настройки","DPAD ou sticks pour se déplacer, (+) - Paramètres"
Ошибка создания файла: {},Erreur lors de la création du fichier : {}
Подключение к серверу...,Connexion au serveur...
   Это действие будет нельзя отменить   ,   Cette action ne peut pas être annulée   
SDK подменён,SDK remplacé
Точка доступа,Point d'accès
Традиционный китайский,Chinois traditionnel
Транзисторов:      {:>3},Transistors :      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,L'activation manuelle de la synchronisation de l'heure via Internet dans les paramètres est requise
Тёмная комната,Chambre noire
Убрать из любимых,Retirer des favoris
Увеличить размер (в МБ),Augmenter la taille (en Mo)
"Уверены, что хотите продолжить?",Êtes-vous sûr de vouloir continuer ?
Удаление Wi-Fi профиля,Suppression du profil Wi-Fi
Удаление Wi-Fi профиля...,Suppression du profil Wi-Fi...
Удаление {} бекапа,Suppression de la sauvegarde {}
Удаление {} бекапов,Suppression de {} sauvegardes
Удаление {} сохранений,Suppression de {} sauvegardes
Удаление {} сохранения,Suppression de {} sauvegarde
Удаление бекапов,Suppression des sauvegardes
Удаление записи об игре...,Suppression de l'entrée du jeu...
Удаление игр,Suppression des jeux
Удаление игры целиком: [{}],Suppression complète du jeu : [{}]
Удаление каталога LFS,Suppression du répertoire LFS
Удаление контента,Suppression du contenu
Удаление настроек родительского контроля...,Suppression des paramètres de contrôle parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Échec de la suppression.\n\nAppuyez sur n'importe quel bouton pour continuer
Удаление неиспользуемого {}...,Suppression de {} inutilisé...
Удаление плейсхолдера...,Suppression de l'espace réservé...
Удаление пользователя,Suppression de l'utilisateur
Удаление пользователя...,Suppression de l'utilisateur...
Удаление ранее установленных файлов...,Suppression des fichiers précédemment installés...
Удаление родительского контроля,Suppression du contrôle parental
SaveFS очищена,SaveFS effacé
Удаление связи с Nintendo account...,Suppression de l'association au compte Nintendo...
Удаление сохранений,Suppression des sauvegardes
Удаление сохранения целиком,Suppression complète de la sauvegarde
Удаление старого     {}...,Suppression de l'ancien     {}...
Удаление старого файла {}...,Suppression de l'ancien fichier {}...
Удаление старой записи об игре...,Suppression de l'ancienne entrée de jeu...
Удаление старой папки {}...,Suppression de l'ancien dossier {}...
Удаление тайтла: [{}],Suppression du titre : [{}]
Удаление тикетов ({}),Suppression des tickets ({})
Удаление...,Suppression...
Удалить,Supprimer
Удалить LFS,Supprimer LFS
Удалить сохранения,Supprimer les sauvegardes
Удалить старые бекапы,Supprimer les anciennes sauvegardes
Удаляется {} из {}...,Suppression de {} sur {}...
Удаляется {}...,Suppression de {}...
Удаляется запись о контенте...,Suppression de l'entrée du contenu...
Удаляется запись об игре...,Suppression de l'entrée du jeu...
Удаляется игра и весь связанный контент,Suppression du jeu et de tout le contenu associé
Titlekey не может быть инициализирован,Titlekey ne peut pas être initialisé
Удаляется папка LFS...,Suppression du dossier LFS...
Удаляется пустая папка,Suppression du dossier vide
