original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - выбар, Y - інверсія выбару, (+) - меню"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - выбар, Y - інверсія выбару, (+) - меню, L3 - запуск"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - выбар, Y - інверсія выбару, (+) - меню, R3 - сартаванне"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - выбар, Y - інверсія выбару, (+) - меню, R3 - сартаванне, L3 - запуск"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - выбар, Y - інверсія выбару, A - адкрыць, (-) - 2-я панэль"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - выбар, Y - інверсія выбару, ⬅/➡ - змена панэлі, (-) - закрыць"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - змена даты, Y - перыяд, X - сартаванне, (+) - выбраць карыстальніка"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Час гульні \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Немагчыма прымантаваць сістэмны раздзел
"DPAD или стики для перемещения, (+) - Настройки","DPAD ці сцікі для перамяшчэння, (+) - Налады"
Ошибка создания файла: {},Памылка стварэння файла: {}
Подключение к серверу...,Падключэнне да сервера...
   Это действие будет нельзя отменить   ,   Гэта дзеянне будзе немагчыма адмяніць   
SDK подменён,SDK падменены
Точка доступа,Топка доступу
Традиционный китайский,Традыцыйная кітайская
Транзисторов:      {:>3},Транзістараў:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Патрабуецца ўручную дазволіць сінхранізацыю часу праз Інтэрнэт у наладах
Тёмная комната,Цёмны пакой
Убрать из любимых,Прыбраць з выбраных
Увеличить размер (в МБ),Павялічыць памер (у МБ)
"Уверены, что хотите продолжить?","Упэўнены, што хочаце працягнуць?"
Удаление Wi-Fi профиля,Выдаленне Wi-Fi профілю
Удаление Wi-Fi профиля...,Выдаленне Wi-Fi профілю...
Удаление {} бекапа,Выдаленне {} бэкапа
Удаление {} бекапов,Выдаленне {} бэкапаў
Удаление {} сохранений,Выдаленне {} захаванняў
Удаление {} сохранения,Выдаленне {} захавання
Удаление бекапов,Выдаленне бэкапаў
Удаление записи об игре...,Выдаленне запісу аб гульні...
Удаление игр,Выдаленне гульняў
Удаление игры целиком: [{}],Выдаленне гульні цалкам: [{}]
Удаление каталога LFS,Выдаленне каталога LFS
Удаление контента,Выдаленне кантэнту
Удаление настроек родительского контроля...,Выдаленне налад бацькоўскага кантролю...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Выдаленне не атрымалася.\n\nНацісніце любую кнопку для працягу
Удаление неиспользуемого {}...,Выдаленне невыкарыстоўваемага {}...
Удаление плейсхолдера...,Выдаленне плэйсхолдэра...
Удаление пользователя,Выдаленне карыстальніка
Удаление пользователя...,Выдаленне карыстальніка...
Удаление ранее установленных файлов...,Выдаленне раней усталяваных файлаў...
Удаление родительского контроля,Выдаленне бацькоўскага кантролю
SaveFS очищена,SaveFS ачышчана
