original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Selecteer, Y - Selectie omkeren, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Selecteer, Y - Selectie omkeren, (+) - Menu, L3 - Starten"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Selecteer, Y - Selectie omkeren, (+) - Menu, R3 - Sorteren"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Selecteer, Y - Selectie omkeren, (+) - Menu, R3 - Sorteren, L3 - Starten"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Selecteer, Y - Selectie omkeren, A - Openen, (-) - 2e paneel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Selecteer, Y - Selectie omkeren, ⬅/➡ - Paneel wisselen, (-) - Sluiten"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Datum wijzigen, Y - Periode, X - Sorteren, (+) - Gebruiker selecteren"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Speeltijd \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Kan systeempartitie niet aankoppelen
"DPAD или стики для перемещения, (+) - Настройки","DPAD of sticks om te bewegen, (+) - Instellingen"
Ошибка создания файла: {},Fout bij aanmaken bestand: {}
Подключение к серверу...,Verbinden met server...
   Это действие будет нельзя отменить   ,   Deze actie kan niet ongedaan worden gemaakt   
SDK подменён,SDK vervangen
Точка доступа,Toegangspunt
Традиционный китайский,Traditioneel Chinees
Транзисторов:      {:>3},Transistoren:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Handmatige inschakeling van tijdsynchronisatie via internet in instellingen is vereist
Тёмная комната,Donkere kamer
Убрать из любимых,Verwijderen uit favorieten
Увеличить размер (в МБ),Grootte verhogen (in MB)
"Уверены, что хотите продолжить?",Weet u zeker dat u wilt doorgaan?
Удаление Wi-Fi профиля,Wi-Fi-profiel verwijderen
Удаление Wi-Fi профиля...,Wi-Fi-profiel verwijderen...
Удаление {} бекапа,{} back-up verwijderen
Удаление {} бекапов,{} back-ups verwijderen
Удаление {} сохранений,{} spelopslagen verwijderen
Удаление {} сохранения,{} spelopslag verwijderen
Удаление бекапов,Back-ups verwijderen
Удаление записи об игре...,Spelrecord verwijderen...
Удаление игр,Games verwijderen
Удаление игры целиком: [{}],Spel volledig verwijderen: [{}]
Удаление каталога LFS,LFS-map verwijderen
Удаление контента,Inhoud verwijderen
Удаление настроек родительского контроля...,Ouderlijk toezicht-instellingen verwijderen...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Verwijderen mislukt.\n\nDruk op een willekeurige knop om door te gaan
Удаление неиспользуемого {}...,Ongebruikte {} verwijderen...
Удаление плейсхолдера...,Tijdelijke aanduiding verwijderen...
Удаление пользователя,Gebruiker verwijderen
Удаление пользователя...,Gebruiker verwijderen...
Удаление ранее установленных файлов...,Eerder geïnstalleerde bestanden verwijderen...
Удаление родительского контроля,Ouderlijk toezicht verwijderen
SaveFS очищена,SaveFS gewist
Удаление связи с Nintendo account...,Nintendo-accountkoppeling verwijderen...
Удаление сохранений,Opslaggegevens verwijderen
Удаление сохранения целиком,Volledige opslaggegevens verwijderen
Удаление старого     {}...,Verwijderen van oude     {}...
Удаление старого файла {}...,Oud bestand {} verwijderen...
Удаление старой записи об игре...,Oud spelrecord verwijderen...
Удаление старой папки {}...,Oude map {} verwijderen...
Удаление тайтла: [{}],Titel verwijderen: [{}]
Удаление тикетов ({}),Tickets verwijderen ({})
Удаление...,Verwijderen...
Удалить,Verwijderen
Удалить LFS,LFS verwijderen
Удалить сохранения,Opslaggegevens verwijderen
Удалить старые бекапы,Oude back-ups verwijderen
Удаляется {} из {}...,Bezig met verwijderen van {} van {}...
Удаляется {}...,Bezig met verwijderen van {}...
