original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Seleccionar, Y - Invertir selección, (+) - Menú"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Seleccionar, Y - Invertir selección, (+) - Menú, L3 - Lanzar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Seleccionar, Y - Invertir selección, (+) - Menú, R3 - Ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Seleccionar, Y - Invertir selección, (+) - Menú, R3 - Ordenar, L3 - Lanzar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Seleccionar, Y - Invertir selección, A - Abrir, (-) - 2.º panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Seleccionar, Y - Invertir selección, ⬅/➡ - Cambiar panel, (-) - Cerrar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Cambiar fecha, Y - Periodo, X - Ordenar, (+) - Seleccionar usuario"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tiempo de juego \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,No se puede montar la partición del sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD o sticks para moverse, (+) - Ajustes"
Ошибка создания файла: {},Error al crear el archivo: {}
Подключение к серверу...,Conectando al servidor...
   Это действие будет нельзя отменить   ,   Esta acción no se puede deshacer   
SDK подменён,SDK reemplazado
Точка доступа,Punto de acceso
Традиционный китайский,Chino tradicional
Транзисторов:      {:>3},Transistores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Se requiere habilitar manualmente la sincronización de hora por Internet en los ajustes
Тёмная комната,Cuarto oscuro
Убрать из любимых,Quitar de favoritos
Увеличить размер (в МБ),Aumentar tamaño (en MB)
"Уверены, что хотите продолжить?",¿Seguro que quieres continuar?
Удаление Wi-Fi профиля,Eliminando perfil Wi-Fi
Удаление Wi-Fi профиля...,Eliminando perfil Wi-Fi...
Удаление {} бекапа,Eliminando copia de seguridad {}
Удаление {} бекапов,Eliminando copias de seguridad {}
Удаление {} сохранений,Eliminando {} partidas guardadas
Удаление {} сохранения,Eliminando {} partida guardada
Удаление бекапов,Eliminando copias de seguridad
Удаление записи об игре...,Eliminando registro del juego...
Удаление игр,Eliminando juegos
Удаление игры целиком: [{}],Eliminar juego completo: [{}]
Удаление каталога LFS,Borrando directorio LFS
Удаление контента,Eliminando contenido
Удаление настроек родительского контроля...,Eliminando la configuración del control parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Error al eliminar.\n\nPresiona cualquier botón para continuar
Удаление неиспользуемого {}...,Eliminando {} no utilizado...
Удаление плейсхолдера...,Eliminando marcador de posición...
Удаление пользователя,Eliminando usuario
Удаление пользователя...,Eliminando usuario...
Удаление ранее установленных файлов...,Eliminando archivos instalados anteriormente...
Удаление родительского контроля,Eliminando control parental
SaveFS очищена,SaveFS limpiado
Удаление связи с Nintendo account...,Eliminando la vinculación de la cuenta de Nintendo...
Удаление сохранений,Eliminando archivos de guardado
Удаление сохранения целиком,Eliminando archivo de guardado completo
Удаление старого     {}...,Borrando antiguo     {}...
Удаление старого файла {}...,Borrando archivo antiguo {}...
Удаление старой записи об игре...,Eliminando registro de juego antiguo...
Удаление старой папки {}...,Borrando carpeta antigua {}...
Удаление тайтла: [{}],Eliminando título: [{}]
Удаление тикетов ({}),Eliminando tickets ({})
Удаление...,Eliminando...
Удалить,Eliminar
Удалить LFS,Eliminar LFS
Удалить сохранения,Eliminar archivos de guardado
Удалить старые бекапы,Eliminar copias de seguridad antiguas
Удаляется {} из {}...,Eliminando {} de {}...
Удаляется {}...,Eliminando {}...
Удаляется запись о контенте...,Eliminando registro de contenido...
Удаляется запись об игре...,Eliminando registro del juego...
Удаляется игра и весь связанный контент,Eliminando el juego y todo el contenido relacionado
Titlekey не может быть инициализирован,Titlekey no se puede inicializar
Удаляется папка LFS...,Eliminando carpeta LFS...
Удаляется пустая папка,Eliminando carpeta vacía
Удаляется сохранение {}...,Eliminando archivo de guardado {}...
Удаляется старая запись о контенте...,Eliminando el registro de contenido antiguo...
Удаляется старый cnmt.nca...,Borrando cnmt.nca antiguo...
Удаляется тикет: {}...,Eliminando ticket: {}...
Удаляются все объекты из альбома для игры,Eliminando todos los elementos del álbum del juego
Удаляются все сохранения для игры,Eliminando todas las partidas guardadas del juego
Удаляются сохранения...,Eliminando datos de guardado...
"UID: {}, Ник: {}","UID: {}, Apodo: {}"
Удалённые,Eliminados
Удачный экспорт,Exportación exitosa
Уделение старого тикета...,Eliminando ticket antiguo...
Упаковка каталога в RomFS,Empaquetando directorio en RomFS
Упрощенный китайский,Chino simplificado
