original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Select, Y - Invert selection, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Select, Y - Invert selection, (+) - Menu, L3 - Launch"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Select, Y - Invert selection, (+) - Menu, R3 - Sort"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Select, Y - Invert selection, (+) - Menu, R3 - Sort, L3 - Launch"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Select, Y - Invert selection, A - Open, (-) - 2nd panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Select, Y - Invert selection, ⬅/➡ - Change panel, (-) - Close"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Change date, Y - Period, X - Sort, (+) - Select user"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Playtime \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Unable to mount system partition
"DPAD или стики для перемещения, (+) - Настройки","DPAD or sticks to move, (+) - Settings"
Ошибка создания файла: {},Error creating file: {}
Подключение к серверу...,Connecting to server...
   Это действие будет нельзя отменить   ,   This action cannot be undone   
SDK подменён,SDK replaced
Точка доступа,Access point
Традиционный китайский,Traditional Chinese
Транзисторов:      {:>3},Transistors:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Manual enabling of time synchronization via Internet in settings is required
Тёмная комната,Dark room
Убрать из любимых,Remove from favourites
Увеличить размер (в МБ),Increase size (in MB)
"Уверены, что хотите продолжить?",Are you sure you want to continue?
Удаление Wi-Fi профиля,Deleting Wi-Fi profile
Удаление Wi-Fi профиля...,Deleting Wi-Fi profile...
Удаление {} бекапа,Deleting {} backup
Удаление {} бекапов,Deleting {} backups
