original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 选择, Y - 反转选择, (+) - 菜单"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 选择, Y - 反转选择, (+) - 菜单, L3 - 启动"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 选择, Y - 反转选择, (+) - 菜单, R3 - 排序"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 选择, Y - 反转选择, (+) - 菜单, R3 - 排序, L3 - 启动"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 选择, Y - 反转选择, A - 打开, (-) - 第2面板"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 选择, Y - 反转选择, ⬅/➡ - 切换面板, (-) - 关闭"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 更改日期, Y - 期间, X - 排序, (+) - 选择用户"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 游玩时间 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,无法挂载系统分区
"DPAD или стики для перемещения, (+) - Настройки","十字键或摇杆移动, (+) - 设置"
Ошибка создания файла: {},创建文件出错: {}
Подключение к серверу...,正在连接服务器...
   Это действие будет нельзя отменить   ,   此操作将无法撤销   
SDK подменён,SDK 已替换
Точка доступа,访问点
Традиционный китайский,繁体中文
Транзисторов:      {:>3},晶体管:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,需要在设置中手动启用互联网时间同步
Тёмная комната,暗室
Убрать из любимых,从收藏中移除
Увеличить размер (в МБ),增加大小 (MB)
"Уверены, что хотите продолжить?",确认要继续吗？
Удаление Wi-Fi профиля,正在删除 Wi-Fi 配置文件
Удаление Wi-Fi профиля...,正在删除 Wi-Fi 配置文件...
Удаление {} бекапа,正在删除 {} 备份
Удаление {} бекапов,正在删除 {} 个备份
Удаление {} сохранений,正在删除 {} 个存档
Удаление {} сохранения,正在删除 {} 存档
Удаление бекапов,正在删除备份
Удаление записи об игре...,正在删除游戏记录...
Удаление игр,正在删除游戏
Удаление игры целиком: [{}],彻底删除游戏：[{}]
Удаление каталога LFS,正在删除 LFS 目录
Удаление контента,正在删除内容
Удаление настроек родительского контроля...,正在删除家长控制设置...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,删除失败。\n\n按任意键继续
Удаление неиспользуемого {}...,正在删除未使用的 {}...
Удаление плейсхолдера...,正在删除占位符...
Удаление пользователя,正在删除用户
Удаление пользователя...,正在删除用户...
Удаление ранее установленных файлов...,正在删除之前安装的文件...
Удаление родительского контроля,正在删除家长控制
SaveFS очищена,SaveFS 已清除
Удаление связи с Nintendo account...,正在删除 Nintendo 账号关联...
Удаление сохранений,正在删除存档
Удаление сохранения целиком,正在删除完整存档
Удаление старого     {}...,正在删除旧的     {}...
Удаление старого файла {}...,正在删除旧文件 {}...
Удаление старой записи об игре...,正在删除旧的游戏记录...
Удаление старой папки {}...,正在删除旧文件夹 {}...
Удаление тайтла: [{}],正在删除标题：[{}]
Удаление тикетов ({}),正在删除票据 ({})
Удаление...,正在删除...
Удалить,删除
Удалить LFS,删除 LFS
Удалить сохранения,删除存档
Удалить старые бекапы,删除旧备份
Удаляется {} из {}...,正在删除 {} / {}...
Удаляется {}...,正在删除 {}...
Удаляется запись о контенте...,正在删除内容记录...
Удаляется запись об игре...,正在删除游戏记录...
Удаляется игра и весь связанный контент,正在删除游戏及其所有相关内容
Titlekey не может быть инициализирован,Titlekey 无法初始化
Удаляется папка LFS...,正在删除 LFS 文件夹...
