original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Selecionar, Y - Inverter seleção, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Selecionar, Y - Inverter seleção, (+) - Menu, L3 - Iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Selecionar, Y - Inverter seleção, (+) - Menu, R3 - Ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Selecionar, Y - Inverter seleção, (+) - Menu, R3 - Ordenar, L3 - Iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Selecionar, Y - Inverter seleção, A - Abrir, (-) - 2º painel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Selecionar, Y - Inverter seleção, ⬅/➡ - Mudar painel, (-) - Fechar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Mudar data, Y - Período, X - Ordenar, (+) - Selecionar utilizador"
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo de jogo \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Não foi possível montar a partição do sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD ou sticks para mover, (+) - Definições"
Ошибка создания файла: {},Erro ao criar ficheiro: {}
Подключение к серверу...,A ligar ao servidor...
   Это действие будет нельзя отменить   ,   Esta ação não pode ser desfeita   
SDK подменён,SDK substituído
Точка доступа,Ponto de acesso
Традиционный китайский,Chinês tradicional
Транзисторов:      {:>3},Transístores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,É necessário ativar manualmente a sincronização de tempo via Internet nas definições
Тёмная комната,Quarto escuro
Убрать из любимых,Remover dos favoritos
Увеличить размер (в МБ),Aumentar tamanho (em MB)
"Уверены, что хотите продолжить?",Tem a certeza que deseja continuar?
Удаление Wi-Fi профиля,Eliminar perfil Wi-Fi
Удаление Wi-Fi профиля...,A eliminar perfil Wi-Fi...
Удаление {} бекапа,A eliminar cópia de segurança {}
Удаление {} бекапов,A eliminar {} cópias de segurança
Удаление {} сохранений,A eliminar {} gravações
Удаление {} сохранения,A eliminar {} gravação
Удаление бекапов,Eliminar cópias de segurança
Удаление записи об игре...,Apagando registo do jogo...
Удаление игр,Apagando jogos
Удаление игры целиком: [{}],Eliminar jogo completo: [{}]
Удаление каталога LFS,Apagando diretório LFS
Удаление контента,Apagando conteúdo
Удаление настроек родительского контроля...,A apagar as definições de controlo parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Falha ao apagar.\n\nPrime qualquer botão para continuar
Удаление неиспользуемого {}...,A apagar {} não utilizado...
Удаление плейсхолдера...,A apagar marcador de posição...
Удаление пользователя,Apagando utilizador
Удаление пользователя...,A apagar utilizador...
Удаление ранее установленных файлов...,A apagar ficheiros instalados anteriormente...
Удаление родительского контроля,A apagar controlo parental
SaveFS очищена,SaveFS limpa
Удаление связи с Nintendo account...,A apagar a ligação à conta Nintendo...
Удаление сохранений,A apagar gravações
Удаление сохранения целиком,A apagar gravação completa
Удаление старого     {}...,Apagando antigo     {}...
Удаление старого файла {}...,Apagando ficheiro antigo {}...
Удаление старой записи об игре...,Apagando registo de jogo antigo...
Удаление старой папки {}...,Apagando pasta antiga {}...
Удаление тайтла: [{}],Apagando título: [{}]
Удаление тикетов ({}),Apagando tickets ({})
Удаление...,Apagando...
Удалить,Apagar
Удалить LFS,Apagar LFS
Удалить сохранения,Apagar gravações
Удалить старые бекапы,Apagar cópias de segurança antigas
Удаляется {} из {}...,A apagar {} de {}...
Удаляется {}...,A apagar {}...
Удаляется запись о контенте...,A apagar registo de conteúdo...
Удаляется запись об игре...,A apagar registo do jogo...
Удаляется игра и весь связанный контент,A apagar o jogo e todo o conteúdo relacionado
Titlekey не может быть инициализирован,Titlekey não pode ser inicializado
Удаляется папка LFS...,A apagar pasta LFS...
Удаляется пустая папка,A apagar pasta vazia
Удаляется сохранение {}...,A apagar gravação {}...
Удаляется старая запись о контенте...,A apagar registo de conteúdo antigo...
Удаляется старый cnmt.nca...,Apagando cnmt.nca antigo...
Удаляется тикет: {}...,A apagar ticket: {}...
Удаляются все объекты из альбома для игры,A apagar todos os itens do álbum do jogo
Удаляются все сохранения для игры,A apagar todas as gravações para o jogo
Удаляются сохранения...,A eliminar dados de gravação...
"UID: {}, Ник: {}","UID: {}, Alcunha: {}"
Удалённые,Apagados
Удачный экспорт,Exportação bem-sucedida
Уделение старого тикета...,A eliminar ticket antigo...
Упаковка каталога в RomFS,Empacotando diretório em RomFS
Упрощенный китайский,Chinês simplificado
Успешно разобран как PFS0 файл,Analisado com sucesso como ficheiro PFS0
Устанавливается {},A instalar {}
Установить как аватар...,Definir como avatar...
Установка,Instalação
Установка анлокера...,A instalar unlocker...
Установка завершена,Instalação concluída
Установка игр (NAND),Instalação de jogos (NAND)
Установка игр (SD Card),Instalação de jogos (Cartão SD)
Установка игры завершена,Instalação do jogo concluída
